review,rating,date,bank,source,sentiment_score,sentiment_label,keywords,themes
good App,5,2025-11-12,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play,0.4854,positive,"['sync', 'problem', 'date', 'pls']",['Other']
ok,5,2025-11-11,CBE,Google Play,0.296,positive,[],['Other']
cbe is my choice,4,2025-11-11,CBE,Google Play,0.0,neutral,"['cbe', 'choice']",['Other']
Awesome,5,2025-11-11,CBE,Google Play,0.6249,positive,['awesome'],['Other']
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,0.0,neutral,"['able', 'app']",['User Interface & Experience']
Very convenient App,5,2025-11-11,CBE,Google Play,0.0,neutral,"['convenient', 'app']",['User Interface & Experience']
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,0.3291,positive,['excellent'],['Other']
good app,5,2025-11-10,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
wow apk,5,2025-11-10,CBE,Google Play,0.5859,positive,['apk'],['Other']
best 100 %,5,2025-11-10,CBE,Google Play,0.6369,positive,[],['Other']
bad app,1,2025-11-10,CBE,Google Play,-0.5423,negative,"['bad', 'app']",['User Interface & Experience']
best app,5,2025-11-10,CBE,Google Play,0.6369,positive,"['good', 'app']",['User Interface & Experience']
wow,5,2025-11-10,CBE,Google Play,0.5859,positive,[],['Other']
nice app,5,2025-11-10,CBE,Google Play,0.4215,positive,"['nice', 'app']",['User Interface & Experience']
bad app,4,2025-11-10,CBE,Google Play,-0.5423,negative,"['bad', 'app']",['User Interface & Experience']
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,0.6355,positive,"['app', 'decent', 'connection', 'cache', 'telebirr', 'well']",['User Interface & Experience']
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,0.0,neutral,['update'],['Features']
👌👌,5,2025-11-10,CBE,Google Play,0.0,neutral,[],['Other']
best 👌,5,2025-11-10,CBE,Google Play,0.6369,positive,[],['Other']
good,4,2025-11-10,CBE,Google Play,0.4404,positive,['good'],['Other']
not Refresh,2,2025-11-10,CBE,Google Play,0.0,neutral,[],['Other']
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,0.0,neutral,['statement'],['Other']
good very good,5,2025-11-09,CBE,Google Play,0.7003,positive,"['good', 'good']",['Other']
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,-0.4939,negative,"['absolute', 'trash', 'time', 'server', 'g', 'datum', 'internet', 'datum', 'package', 'trash', 'money']",['Other']
good app,5,2025-11-08,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,0.0,neutral,"['bayeee', 'kana', 'caalati', 'nu', 'gammachisa']",['Other']
Good !,5,2025-11-08,CBE,Google Play,0.4926,positive,['good'],['Other']
i like it,5,2025-11-08,CBE,Google Play,0.3612,positive,[],['Other']
Very nice app,5,2025-11-08,CBE,Google Play,0.4754,positive,"['nice', 'app']",['User Interface & Experience']
the app is not functional this week.,4,2025-11-08,CBE,Google Play,0.0,neutral,"['app', 'functional', 'week']",['User Interface & Experience']
good,5,2025-11-07,CBE,Google Play,0.4404,positive,['good'],['Other']
very updated bank,5,2025-11-06,CBE,Google Play,0.0,neutral,['bank'],['Other']
tankyu,5,2025-11-05,CBE,Google Play,0.0,neutral,['tankyu'],['Other']
nice,5,2025-11-05,CBE,Google Play,0.4215,positive,['nice'],['Other']
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,0.0,neutral,"['number', 'pin', 'verification']",['Other']
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,0.0258,neutral,"['uninstalled', 'nearby', 'bank', 'new', 'sim', 'card', 'new', 'sim', 'card', 'new', 'sim', 'card', 'service', 'provider', 'authentication', 'pin', 'system', 'tomorrow']",['Customer Support']
loved it,5,2025-11-05,CBE,Google Play,0.5994,positive,[],['Other']
Ok,1,2025-11-05,CBE,Google Play,0.296,positive,[],['Other']
this app is not working on my phone,5,2025-11-03,CBE,Google Play,0.0,neutral,"['app', 'phone']",['User Interface & Experience']
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,-0.5574,negative,"['cbe', 'transaction', 'fee', 'transaction', 'big', 'issue', 'fee', 'insignificant']",['Transaction Performance']
